Year,Australia,Austria,Belgium,Canada,Switzerland,Chile,Colombia,Costa Rica,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Hungary,Ireland,Iceland,Israel,Italy,Japan,Lithuania,Luxembourg,Latvia,Mexico,Netherlands,Norway,New Zealand,Poland,Portugal,Slovenia,Sweden,United States,OECD members
1970,32.75348182,30.935123,32.0303888,22.79827837,38.05654361,17.09867222,18.9480899,13.79262514,28.536885,23.91350321,26.46856532,,31.48549946,29.19370411,16.26051863,25.09441111,,13.620497,28.67055016,13.88035826,26.59195871,43.28190904,,42.61050947,,20.77364865,29.72689834,32.28340435,20.9441328,,22.61479753,,29.40339555,21.78257212,25.70164012
1971,31.66224952,30.65976067,30.62341128,22.80871488,38.39625042,13.47073115,15.36507448,14.0254973,27.26585724,23.88664487,26.10106426,,31.42951792,28.86557732,15.68878245,26.77925945,,13.8560152,28.57765322,19.65072068,24.98792869,41.42835512,,37.36316531,,19.16063265,30.07718273,31.60344811,23.28227571,,20.60656192,,28.59112277,21.97304374,25.30953115
1972,31.00924845,31.44117627,30.1524641,22.73624434,38.3517681,8.674959868,18.58354341,15.64911512,26.28865956,26.29967671,26.63288143,,30.89104792,28.9768981,14.47836571,29.91623318,,16.93019088,28.29274151,24.09924831,24.13804395,40.76994256,,38.46690654,,19.5919115,30.29834398,31.90832619,24.32672764,,24.7622113,,28.07098359,22.31700167,25.61021617
1973,30.96824696,31.45497768,29.48309563,24.85061185,37.75259275,6.056861923,20.53010364,17.91998034,26.07930312,25.64777207,26.93937996,,32.45722296,29.51550697,15.25100389,34.10377036,,17.22984857,31.82527196,13.99029774,24.78459784,40.9452768,,43.25674892,,20.34503618,30.34361425,32.81663691,25.61678078,,24.61908911,,28.53333676,23.62015356,26.7279495
1974,32.04777761,30.9904111,29.7383743,25.82284698,36.93331468,21.82926755,20.36546479,11.76101086,24.91548998,23.5952484,25.88300257,,33.99530196,28.75485925,11.31508114,27.65614779,,11.43274844,27.93012302,14.62815167,26.21119202,39.22480887,,45.59282006,,21.04308889,31.76305921,33.81655683,21.78041543,,15.75706907,,27.55100834,22.64219932,25.90094689
1975,27.33383855,26.81774569,26.26951557,22.88740167,33.83817985,11.13104343,18.79819702,13.155326,21.36156767,21.52104472,25.183587,,30.27911086,26.64106612,9.31287589,26.13943364,,14.36629752,28.43291634,11.43427943,24.20996772,35.46870289,,31.21884375,,20.96212727,27.71072768,31.66326252,19.72251493,,10.57965316,,28.44337978,21.22566033,23.67353005
1976,26.34224766,25.93967876,26.28759651,23.75096889,32.24139508,17.11021599,20.71392338,17.66043065,21.98494592,20.89031977,22.92559231,,28.75447011,26.36536682,10.78855465,27.88569922,,14.56033691,30.66855796,13.54049406,25.80625676,35.39282485,,32.49453969,,20.91345733,27.21482674,30.52993336,24.69206531,,13.80739165,,26.31858212,21.95133799,24.20771267
1977,25.8500078,25.24158447,24.87548649,22.79408386,31.59855331,12.62257664,22.41892437,18.80390417,21.73302758,20.84607534,23.36085434,,27.84233597,26.2939768,13.60081158,24.2788868,,15.97362228,30.70047736,17.21097717,25.78969163,35.25913563,,28.56497482,,22.92839913,25.57754131,29.00555737,23.49932877,,16.50718761,,23.41287041,22.41695512,24.43738468
1978,24.33680123,26.45295775,24.34438764,22.89722634,32.33824291,14.46802505,21.11168164,15.61109886,22.19648106,20.92217456,24.05690656,,28.19074308,26.14286078,14.66981155,24.38379644,,16.30637956,29.37224992,15.26834713,26.42122061,35.47443191,,30.30033954,,23.01967052,24.84734247,30.29968797,22.47038917,,20.46870099,,23.27850066,23.75307185,25.33378882
1979,25.99092233,26.94336245,22.8733387,24.83427981,31.62995739,14.95894826,19.92232614,15.04348929,21.98164559,20.73432841,22.96556624,,29.67546616,26.00862986,14.94944837,24.69377439,,13.70034179,27.84817575,17.23388631,25.88522002,34.50819673,,30.0344436,,24.70029335,24.44754566,30.93132937,22.8256668,,21.00515273,,23.6107618,24.2530353,25.20758997
